line_item_name,line_item_description,canonical_vendor_name,canonical_line_item_name
2019 AUGUST RENEWALS,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
"Matter No:2019 DECEMBER RENEWALS RE:VERIFLY INSURANCE SERVICES, INC. / Company ID:3789957 Line:001",DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,2019 MARCH RENEWALS,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,2019 JULY RENEWALS,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,2019 DE CORP RENEWALS,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,2019 FEBRUARY RENEWALS,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
2019 SEPTEMBER RENEWALS,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
2019 JUNE RENEWALS,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
2019 JULY RENEWALS,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,2020 APRIL RENEWALS,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
2020 JANUARY RENEWALS,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
FICTITIOUS/ASSUMED NAME FILING IN COLORADO,,CSC,FICTITIOUS/ASSUMED NAME FILING
2020 DELAWARE RENEWALS,FOREIGN FILING IN DELAWARE,CSC,FOREIGN FILING
2020 JUNE RENEWALS,FOREIGN FILING IN MAINE,CSC,FOREIGN FILING
2020 FLORIDA RENEWALS,FOREIGN FILING IN FLORIDA,CSC,FOREIGN FILING
"Matter No:2019 DECEMBER RENEWALS RE:VERIFLY INSURANCE SERVICES, INC. / Company ID:3789957 Line:001",FOREIGN FILING IN MINNESOTA,CSC,FOREIGN FILING
FOREIGN FILING IN WISCONSIN,2019 MARCH RENEWALS,CSC,FOREIGN FILING
FOREIGN FILING IN ARIZONA,2019 APRIL RENEWALS,CSC,FOREIGN FILING
FOREIGN FILING IN COLORADO,2019 AUGUST RENEWALS,CSC,FOREIGN FILING
FOREIGN FILING IN NORTH CAROLINA,2019 APRIL RENEWALS,CSC,FOREIGN FILING
FOREIGN FILING IN NEW YORK,2019 FEBRUARY RENEWALS,CSC,FOREIGN FILING
FOREIGN FILING IN CONNECTICUT,2019 APRIL RENEWALS,CSC,FOREIGN FILING
2019 SEPTEMBER RENEWALS,FOREIGN FILING IN HAWAII,CSC,FOREIGN FILING
2019 MAY RENEWALS,FOREIGN FILING IN NORTH DAKOTA,CSC,FOREIGN FILING
2019 JUNE RENEWALS,FOREIGN FILING IN KENTUCKY,CSC,FOREIGN FILING
2019 APRIL RENEWALS,FOREIGN FILING IN WASHINGTON,CSC,FOREIGN FILING
2019 JUNE RENEWALS,FOREIGN FILING IN WEST VIRGINIA,CSC,FOREIGN FILING
2020 MARCH RENEWALS,FOREIGN FILING IN NEBRASKA,CSC,FOREIGN FILING
2020 APRIL RENEWALS,FOREIGN FILING IN CONNECTICUT,CSC,FOREIGN FILING
FOREIGN FILING IN MARYLAND,2020 APRIL RENEWALS,CSC,FOREIGN FILING
2019 AUGUST RENEWALS RE,FOREIGN FILING IN LOUISIANA,CSC,FOREIGN FILING
FOREIGN FILING IN MONTANA,2019 APRIL RENEWALS,CSC,FOREIGN FILING
FOREIGN FILING IN VERMONT,2020 MARCH RENEWALS,CSC,FOREIGN FILING
2019 APRIL RENEWALS,FOREIGN FILING IN NEW JERSEY,CSC,FOREIGN FILING
FOREIGN FILING IN UTAH,2019 APRIL RENEWALS,CSC,FOREIGN FILING
FOREIGN FILING IN MARYLAND,2019 APRIL RENEWALS,CSC,FOREIGN FILING
2019 MAY RENEWALS,NO STATE FILING FEE,CSC,NO STATE FILING FEE
2019 JULY RENEWALS,NO STATE FILING FEE,CSC,NO STATE FILING FEE
ONE TIME REGISTERED AGENT REPRESENTATION SET UP FEE,,CSC,ONE TIME REGISTERED AGENT REPRESENTATION SET UP FEE
PUBLICATION IN NEVADA,2019 MARCH RENEWALS,CSC,PUBLICATION
2020 MAY RENEWALS,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE,CSC,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE
NH410S,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE,CSC,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE
2020 JUNE RENEWALS,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE,CSC,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE
2020 APRIL RENEWALS,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE,CSC,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE
SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE,2019 APRIL RENEWALS,CSC,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE
2019 APRIL RENEWALS,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE,CSC,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE
SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE,2019 DE CORP RENEWALS,CSC,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE
2019 SEPTEMBER RENEWALS,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE,CSC,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE
2019 JUNE RENEWALS,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE,CSC,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE
SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE,019 APRIL RENEWALS,CSC,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE
2020 JANUARY RENEWALS,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE,CSC,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE
2020 MARCH RENEWALS,SPECIAL ARRANGEMENT DISCOUNT,CSC,SPECIAL ARRANGEMENT DISCOUNT
2020 JUNE RENEWALS,SPECIAL ARRANGEMENT DISCOUNT,CSC,SPECIAL ARRANGEMENT DISCOUNT
March Renewals,SPECIAL ARRANGEMENT DISCOUNT,CSC,SPECIAL ARRANGEMENT DISCOUNT
SPECIAL ARRANGEMENT DISCOUNT,2019 APRIL RENEWALS,CSC,SPECIAL ARRANGEMENT DISCOUNT
2020 FLORIDA RENEWALS,SPECIAL ARRANGEMENT DISCOUNT,CSC,SPECIAL ARRANGEMENT DISCOUNT
2019 AUGUST RENEWALS,SPECIAL ARRANGEMENT DISCOUNT,CSC,SPECIAL ARRANGEMENT DISCOUNT
SPECIAL ARRANGEMENT DISCOUNT 74% DISCOUNT,,CSC,SPECIAL ARRANGEMENT DISCOUNT
2019 MAY RENEWALS,SPECIAL ARRANGEMENT DISCOUNT,CSC,SPECIAL ARRANGEMENT DISCOUNT
"Matter No:2019 DECEMBER RENEWALS RE:VERIFLY INSURANCE SERVICES, INC. / Company ID:3789957 Line:001",SPECIAL ARRANGEMENT DISCOUNT,CSC,SPECIAL ARRANGEMENT DISCOUNT
SPECIAL ARRANGEMENT DISCOUNT,2019 MARCH RENEWALS,CSC,SPECIAL ARRANGEMENT DISCOUNT
SPECIAL ARRANGEMENT DISCOUNT,2019 AUGUST RENEWALS,CSC,SPECIAL ARRANGEMENT DISCOUNT
SPECIAL ARRANGEMENT DISCOUNT,2019 JULY RENEWALS,CSC,SPECIAL ARRANGEMENT DISCOUNT
2019 SEPTEMBER RENEWALS,SPECIAL ARRANGEMENT DISCOUNT,CSC,SPECIAL ARRANGEMENT DISCOUNT
ARARDT,SPECIAL ARRANGEMENT DISCOUNT,CSC,SPECIAL ARRANGEMENT DISCOUNT
SPECIAL ARRANGEMENT DISCOUNT,019 APRIL RENEWALS,CSC,SPECIAL ARRANGEMENT DISCOUNT
SPECIAL ARRANGEMENT DISCOUNT,2020 APRIL RENEWALS,CSC,SPECIAL ARRANGEMENT DISCOUNT
"Matter No:2019 APRIL RENEWALS RE:VERIFLY INSURANCE SERVICES, INC. / Company ID:3789957 Line:008",SPECIAL ARRANGEMENT DISCOUNT,CSC,SPECIAL ARRANGEMENT DISCOUNT
2020 JANUARY RENEWALS,SPECIAL ARRANGEMENT DISCOUNT,CSC,SPECIAL ARRANGEMENT DISCOUNT
STATE EXPEDITED FEE,2019 MARCH RENEWALS,CSC,STATE EXPEDITED FEE
STATUTORY REPRESENTATION,Alaska Alabama Arkansas Arizona California Colorado Connecticut District of Columbia Delaware Florida Georgia Hawaii Iowa Idaho Illinois Indiana Kansas Kentucky Louisiana Massachusetts Maryland Maine Michigan Minnesota Missouri Mississippi Montana North Carolina North Dakota Nebraska New Hampshire New Jersey New Mexico Nevada New York Ohio Oklahoma Oregon Pennsylvania Rhode Island South Carolina South Dakota Tennessee Texas Utah Virginia Vermont Washington Wisconsin West Virginia,CSC,STATUTORY REPRESENTATION
Disbursements,Obtain Document - Misc - Plain copy of the 2017 annual report - Wisconsin,CT Corporation,Obtain Document - Misc - Plain copy of the annual report
Head of Product,For securing services of Daversa Partners First Retainer Invoice,Daversa Partners,Retainer: Head of Product
Head of Product,For securing services of Daversa Partners - Final Retainer Invoice,Daversa Partners,Retainer: Head of Product
Vice President Insurance,For securing services of Daversa Partners Final Retainer Invoice,Daversa Partners,Retainer: Vice President Insurance
Vice President Marketing,For securing services of Daversa Partners Final Retainer Invoice,Daversa Partners,Retainer: Vice President Marketing
VP Business Development,For securing services of Daversa Partners Second Retainer Invoice,Daversa Partners,Retainer: VP Business Development
VP Business Development,For securing services of Daversa Partners Final Retainer Invoice,Daversa Partners,Retainer: VP Business Development
Thimble Holiday Party 12/6 at Devon,,Devon,Holiday Party at Devon
GEO TRUST TRUE BUSINESS ID WILDCARD 2 - YEAR,,DigiCert,Geo Trust True Business ID Wildcard 2-Year
"Campaign Management May 2019 (15% commision of total media spend of $68.368,00)",,Dynamo Partners,Campaign Management
Credit note (Facebook adjustments Jan/Feb 2019),Credit note (Facebook adjustments Jan/Feb 2019),Dynamo Partners,Credit note
2193820150728468-4102460,,Facebook Ads,Facebook Ads
1804909432952882-4099501,,Facebook Ads,Facebook Ads
1859279294182559-4077101,,Facebook Ads,Facebook Ads
Facebook Ads,,Facebook Ads,Facebook Ads
Facebook Ads,Billing Report: 04/01/2019 - 04/30/2019,Facebook Ads,Facebook Ads
Facebook Ads,03/01/2019 - 03/31/2019,Facebook Ads,Facebook Ads
Facebook Ads,Billing Report: 07/01/2019 - 07/31/2019,Facebook Ads,Facebook Ads
Service:Fixed Recruitment Fee,43466,Fairmount Recruiting,Service: Fixed Recruitment Fee
Service:Placement fee 10%,"Tudor Bay ($155K), UX/UI Designer As per agreement: Verifly sourced candidate at 10%",Fairmount Recruiting,Service: Placement Fee
Service:Placement fee 15%,"Richard Loeffler ($140K), Technical Project Manager",Fairmount Recruiting,Service: Placement Fee
Estate Monthly plan,,Freshworks,Estate Monthly plan
Freshdesk,Estate Monthly Plan,Freshworks,Estate Monthly plan
Estate Monthly plan - Prorated Charges,,Freshworks,Estate Monthly plan
Estate Monthly plan - Prorated Charges,Estate Monthly plan - Prorated Charges,Freshworks,Estate Monthly plan
Garden Plan - Monthly,Garden Plan - Monthly,Freshworks,Freshchat Garden Plan - Monthly
GitHub Actions,0 of 10000 included private minutes $0.00 USD,GitHub,GitHub Actions
GitHub Packages,0GB of 10GB included data transfer out $0.00 USD,GitHub,GitHub Packages
5 included seats + 7 additional seats ($9/month each),,GitHub,GitHub Plan
GitHub Plan,1 additional seat ($9/month each - prorated for 27 days),GitHub,GitHub Plan
Consulting,Performance Marketing Strategy Aug Fees,Good Moose,Consulting
Consulting,"Monthly Management Fees FB/IG: $112,033.64 Google: $153,849.28 Linkedin:$ Bing: $7,001.11 Total Spend: $272,884.03 Comment: Management Fee: 11% - per new terms (Media Spend up to $300,000 per month: 11% of Media Spend)",Good Moose,Consulting
Consulting,12% Media management fee per agreement (12% for spend below $200k total),Good Moose,Consulting
Consulting,Performance Marketing Prelaunch fees final invoice,Good Moose,Consulting
Consulting,"Monthly Management Fees FB/IG: $110,959.85 Google: $242,619.73 Bing: $7,182.11 Linkedin: $3,297.23 Total Spend: $364,058.92 Comment: Management Fee: 10% - per new terms (Media Spend above $300,000 per month: 10% of Media Spend)",Good Moose,Consulting
Ford V Ferrari,,Google,Ford V Ferrari
G Suite Basic,Usage,Google,G Suite Basic
Google Ads,"Summary for Sep 1, 2019‰ÛÒSep 30, 2019",Google Ads,Google Ads
Google Ads,"Summary for Mar 1, 2019‰ÛÒMar 31, 2019",Google Ads,Google Ads
Google Ads,"Summary for Nov 1, 2019‰ÛÒNov 30, 2019",Google Ads,Google Ads
Google Ads,"Summary for Aug 1, 2019‰ÛÒAug 31, 2019",Google Ads,Google Ads
Google Ads,,Google Ads,Google Ads
Google Ads,"Summary for Dec 1, 2019‰ÛÒDec 31, 2019",Google Ads,Google Ads
Discounts / Credits Acct (e),,Graphite Financial,Discounts / Credits Acct (e)
Discounts / Credits Acct (e) Credit from previous month (as discussed - structured as retention credit; expires in 12 months),,Graphite Financial,Discounts / Credits Acct (e)
Discounts / Credits Acct (e),PROJECT: Verifly; NOTES: Service Discount,Graphite Financial,Discounts / Credits Acct (e)
Accounting:D_Tyra,Donny - Onoarding & Integration,Graphite Financial,Hourly Services: Accounting
Accounting:D_Tyra,Continued Onboarding of Dynamics & Go-Live,Graphite Financial,Hourly Services: Accounting
Accounting:H_Fipps,Continued Onboarding of Dynamics & Go-Live,Graphite Financial,Hourly Services: Accounting
Accounting:D_Tyra,,Graphite Financial,Hourly Services: Accounting
Accounting:H_Fipps,,Graphite Financial,Hourly Services: Accounting
Accounting:D_Tyra,Accounting Team,Graphite Financial,Hourly Services: Accounting
Accounting:H_Fipps,Accounting Team,Graphite Financial,Hourly Services: Accounting
Accounting:Core_Accounting_Service,Accounting Team,Graphite Financial,Hourly Services: Accounting
Accounting:Donny Tyra,,Graphite Financial,Hourly Services: Accounting
Accounting:Core_Accounting_Service,Accounting:Core_Accounting_Service,Graphite Financial,Hourly Services: Accounting
Accounting:Core_Accounting_Service,Continued Onboarding of Dynamics & Go-Live,Graphite Financial,Hourly Services: Other
Accounting:Core_Accounting_Service,Preparation & Filing,Graphite Financial,Hourly Services: Other
Accounting:Core_Accounting_Service,Client & Team Communication,Graphite Financial,Hourly Services: Other
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Client Meetings [External]; PERSON: Donny Tyra,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: CFO Advisory (ad hoc); PERSON: Donny Tyra,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Financial Package Preparation; PERSON: Donny Tyra,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Manager/Final Review; PERSON: Heather Fipps,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Financial Package Preparation; PERSON: Heather Fipps,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Financial Package Preparation; PERSON: Jose Escobar,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Client Meetings [External]; PERSON: Jose Escobar,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Payroll Processing & On boarding,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Audit,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Accounts Payable,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Dynamics GP Functionality,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Manager/Final Review,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Financial Package Preparation,Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,; PROJECT: Verifly; TASK: Client Meetings [External],Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: CFO Advisory (ad hoc),Graphite Financial,Hourly Services: Projects
Accounting:Core_Accounting_Service,PROJECT: Verifly; TASK: Backup Sheet Update,Graphite Financial,Hourly Services: Projects
Strategic Finance Team:J_Aharonoff,Financial Modeling,Graphite Financial,Hourly Services: Strategic Finance Team
FP&A:Strategic Finance Team,Financial Modeling,Graphite Financial,Hourly Services: Strategic Finance Team
Strategic Finance Team:L_Smith,Model / FP&A Assistance,Graphite Financial,Hourly Services: Strategic Finance Team
Strategic Finance Team:J_Aharonoff,Model / FP&A Assistance,Graphite Financial,Hourly Services: Strategic Finance Team
Strategic Finance Team:J_Aharonoff,,Graphite Financial,Hourly Services: Strategic Finance Team
Strategic Finance Team:FP&A_Analyst,,Graphite Financial,Hourly Services: Strategic Finance Team
Strategic Finance Team:J_Aharonoff,Financial Model,Graphite Financial,Hourly Services: Strategic Finance Team
Strategic Finance Team:L_Smith,Financial Model,Graphite Financial,Hourly Services: Strategic Finance Team
Strategic Finance Team:FP&A_Analyst,Financial Model,Graphite Financial,Hourly Services: Strategic Finance Team
Strategic Finance Team:L_Smith,Financial Modeling,Graphite Financial,Hourly Services: Strategic Finance Team
Accounting:Core_Accounting_Service,1099,Graphite Financial,Hourly Services: Tasks
Accounting:Core_Accounting_Service,Verifly; Backup Sheet Update,Graphite Financial,Hourly Services: Tasks
Accounting:Core_Accounting_Service,"TASK: Financial Package Preparation; PERSON: Jose Escobar, Heather Fipps, Donny Tyra",Graphite Financial,Hourly Services: Tasks
Accounting:Core_Accounting_Service,"TASK: Manager/Final Review; PERSON: Donny Tyra, Heather Fipps",Graphite Financial,Hourly Services: Tasks
Accounting:Core_Accounting_Service,TASK: Invoicing/Revenue Reconciliation ; PERSON: Jose Escobar,Graphite Financial,Hourly Services: Tasks
Accounting:Core_Accounting_Service,TASK: Model Update/Revise; PERSON: Jason Lazarus,Graphite Financial,Hourly Services: Tasks
Accounting:Core_Accounting_Service,"TASK: CFO Advisory (ad hoc); PERSON: Jason Lazarus, Heather Fipps",Graphite Financial,Hourly Services: Tasks
Reimbursements:Software,1099 Software,Graphite Financial,Reimbursements
Accounting:Core_Accounting_Service,Unbilled Hours- System Transition,Graphite Financial,Unbilled Hours
"For Legal Services And Disbursements Rendered through March 31, 2020",03/02/20 C. Douthwaite 0.30 Revise Intrequant side letter to add vesting acceleration. 03/05/20 G. Lemmer 0.30 Telephone conference with client regarding employment matter. 03/06/20 A. Reuben 0.30 Attend to employment matters; call with G. Lemmer regarding same. 03/25/20 M. Richman 2.00 Review international stock plan and attend to option extensions and related board resolutions; telephone conference and correspondence with Mr. Bregman and others regarding same.,Gunderson Dettmer,Hourly Services: Legal Services And Disbursements Rendered
M. Richman,Attend to option grant and stock plan terms; correspondence with Ms. Lee regarding same.,Gunderson Dettmer,Hourly Services: M. Richman
2019 Marketing Placements,,HomeAdvisor,2019 Marketing Placements
Retainer,Executive,Hoola Hoop,Consulting Retainer
May 2019 hours,,Ian Dewsbury,Hourly Services
April 2019 hours,,Ian Dewsbury,Hourly Services
MS Support,Remote Support,IN NYC IT,MS Support
UAP-AC-PRO-US: Ubiquiti UniFi Access Point,,IN NYC IT,UAP-AC-PRO-US: Ubiquiti UniFi Access Point
ISOnet-MGA(MF-21+States),,Insurance Services Office,ISOnet-MGA(MF-21+States)
"Richmond, VA Trip Expenses",Hotel,Intrequant,Expenses
"Richmond, VA Trip Expenses",Airport parking,Intrequant,Expenses
43770,,Intrequant,Retainer
43586,,Intrequant,Retainer
43831,,Intrequant,Retainer
Project,43617,Intrequant,Retainer
Project,43647,Intrequant,Retainer
43525,,Intrequant,Retainer
Parametric Business Interruption Pause & GL Re-Filing discussions MPL call with ND Ins Dept,,Intrequant,Retainer
18 iStock credits,,iStock,iStock credits
SMS 25K Bundle,,Iterable,SMS 25K Bundle
Subscriber Profile Base Subscription,,Iterable,Subscriber Profile Base Subscription
Subscriber Profile Usage Subscription,,Iterable,Subscriber Profile Usage Subscription
professional services rendered,"Ekelman, F.",Jackson Lewis,Professional Services rendered
professional services rendered,"Landau, R",Jackson Lewis,Professional Services rendered
professional services rendered,"Benz, A.",Jackson Lewis,Professional Services rendered
DS,"Review revised sublease, email with client regarding same","Jan Ira Gellis, P.C",Hourly Services: DS
1,Consulting services: 1 month,Joseph W Russo,Consulting services
4,Car from train station to hotel,Joseph W Russo,Expenses
5,train ticket-round trip,Joseph W Russo,Expenses
Fees,"Billing for the consolidated financial statement audit of Verifly Holdings Limited as of and for the year ended December 31, 2018.",KPMG,Non-hourly services:  Audit of Verifly Holdings Limited
"Final billing for the consolidated financial statement audit of Verifly Holdings Limited as of and for the year ended December 31, 2018",,KPMG,Non-hourly services:  Audit of Verifly Holdings Limited
Services,"Second progress billing for services rendered through January 31, 2010 per our engagement letter dated November 22, 2019.",KPMG,Non-hourly services: Professional tax consulting
For professional tax services rendered in connection with: Preparation of 2018 Federal and state tax returns.,,KPMG,Non-hourly services: Professional tax consulting
"Progress billing for services rendered through January 3, 2020 per our engagement letter dated November 22, 2019.",,KPMG,Non-hourly services: Professional tax consulting
"For tax consulting services provided to Verifly USA, Inc. per engagement letter dated April 3, 2019.",,KPMG,Non-hourly services: Professional tax consulting
"Professional tax consulting services provided to Verifly USA, Inc. through September 15, 2019 per engagement letter dated April 3, 2019.",,KPMG,Non-hourly services: Professional tax consulting
"Professional tax consulting services provided to Verifly USA, Inc through November 18, 2019 per our engagement letter dated April 3, 2019.",,KPMG,Non-hourly services: Professional tax consulting
Expense charge (3%),,LaunchSquad,Expense charge
Public Relations Project (8/1/19 - 12/31/19),Invoice 2 of 2,LaunchSquad,Public Relations Project
Public Relations Project (8/1/19 - 12/31/19),Invoice 1 of 2,LaunchSquad,Public Relations Project
Reimbursable Expenses for the period of October 2019,10/15/19: Press Release Invoice #2405493,LaunchSquad,Reimbursable Expenses
Jumpstart Standard,,Looker,Jumpstart Standard
Looker Hosted Platform License for Internal BI,,Looker,Looker Hosted Platform License for Internal BI
"15 Standard Users, Internal Use",,Looker,"Standard Users, Internal Use"
How to Become a Travel Photographer,,Maddie Shepherd,Blog Post
What Does ISO Stand for in Insurance?,,Maddie Shepherd,Blog Post
How to Promote Your Consulting Services and Snag Coveted Clients,,Maddie Shepherd,Blog Post
How to Start a Pressure Washing Business‰ÛÓand Keep Your Cool in the Process,,Maddie Shepherd,Blog Post
Handyman Business License Requirements‰ÛÓand How to Get Yours,,Maddie Shepherd,Blog Post
Barber Insurance,,Maddie Shepherd,Blog Post
How to List Freelance Work on a Resume,,Maddie Shepherd,Blog Post
A Step-by-Step Primer on How to Become a Certified Yoga Instructor,,Maddie Shepherd,Blog Post
Making It Official: How to Register a Business Name,,Maddie Shepherd,Blog Post
Policy No. UC2221270419,*New - CL Crime,Marsh & McLennan,CL Crime
Photo Re-Touching,"Will remove the background of 10 photos, color correct, re-touch and crop to desired size",Matthew Buchwach & Chris Rogers,Photo Re-Touching
DISBURSEMENTS ADVANCED,"FEDEX, Delivery Services, 3-240-84723 To: Brandon Packman, Skywatch Technologies",Meister Seelig & Fein,DISBURSEMENTS ADVANCED
DISBURSEMENTS ADVANCED,"FEDEX, Delivery Services, 6-950-7624 to: Brandon Packman, SkyWatch Technologies, Ltd.",Meister Seelig & Fein,DISBURSEMENTS ADVANCED
DISBURSEMENTS ADVANCED,"Wynne-Jones Laine & James LLP, Outside Counsel, 2000433",Meister Seelig & Fein,DISBURSEMENTS ADVANCED
DISBURSEMENTS ADVANCED,"US Patent Trademark Office, Filing Fee, PCT/US19/33588, MOBILE APPLICATION AND SYSTEM FOR CONNECTING USERS TO CARRIERS TO FACILITATE AVAILABILITY OF SHORT-TERM, ON-DEMAND INSURANCE",Meister Seelig & Fein,DISBURSEMENTS ADVANCED
DISBURSEMENTS ADVANCED,"Wynne-Jones Laine & James LLP, Outside Counsel, 102197",Meister Seelig & Fein,DISBURSEMENTS ADVANCED
DISBURSEMENTS ADVANCED,Postage,Meister Seelig & Fein,DISBURSEMENTS ADVANCED
DISBURSEMENTS ADVANCED,"Wynne-Jones Laine & James LLP, Outside Counsel, 103672",Meister Seelig & Fein,DISBURSEMENTS ADVANCED
"Filing Fee, WIPO",,Meister Seelig & Fein,"Filing Fee, WIPO"
Seth H Ostrow,Review and revise draft assignment to US entity; correspondence with client regarding same,Meister Seelig & Fein,Hourly Services: Seth H Ostrow
PROFESSIONAL SERVICES RENDERED,Seth H Ostrow,Meister Seelig & Fein,Hourly Services: Seth H Ostrow
In-House Copying,,Meister Seelig & Fein,In-House Copying
Advisory Service,5 hrs x $250.00/hr,Meredith Wood,Advisory Service
Advisory Service,1 hr x $250.00/hr,Meredith Wood,Advisory Service
Messenger Services,,Mess Ko,Messenger Services
Office 365 Advanced Threat Protection (Plan 1),07/07/2019 - 08/06/2019,Microsoft,Office 365 Advanced Threat Protection (Plan 1)
Office 365 Advanced Threat Protection (Plan 1),06/07/2019 - 07/06/2019,Microsoft,Office 365 Advanced Threat Protection (Plan 1)
Office 365 Advanced Threat Protection (Plan 1),06/07/2019 - 06/30/2019,Microsoft,Office 365 Advanced Threat Protection (Plan 1)
Office 365 Advanced Threat Protection (Plan 1),,Microsoft,Office 365 Advanced Threat Protection (Plan 1)
Office 365 Business Premium (Month to Month),02/26/2019 - 03/18/2019,Microsoft,Office 365 Business Premium (Month to Month)
Office 365 Business Premium (Month to Month),02/25/2019 - 02/25/2019,Microsoft,Office 365 Business Premium (Month to Month)
Office 365 Business Premium (Month to Month),02/20/2019 - 02/24/2019,Microsoft,Office 365 Business Premium (Month to Month)
Office 365 E3,07/07/2019 - 08/06/2019,Microsoft,Office 365 E3
